"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"649446_at",0.208907981585091,6.75401222183409,6.26821842457884,8.76505551223241e-10,2.58209770334855e-05,11.6256280037023
"1656_at",-0.100267303813656,9.28545599534543,-5.36025236995727,1.3478806639376e-07,0.00184517423835095,7.05458881109495
"55716_at",0.0897092249816374,6.6825015011523,5.29596784738719,1.87905995283372e-07,0.00184517423835095,6.75420177439049
"285505_at",0.267755021800778,5.80304283441583,5.09885268961883,5.09865930623464e-07,0.00267099246990975,5.85289457189102
"8732_at",-0.148152018780224,7.21762175143641,-5.09420776330915,5.21805329846179e-07,0.00267099246990975,5.83201764408059
"105369725_at",0.263393739331048,7.24001717195781,5.0858367725204,5.44008785751672e-07,0.00267099246990975,5.79443597568593
"26229_at",-0.0940016928059822,5.84463603557646,-4.90524853269815,1.31837322213465e-06,0.00526644068244862,4.99699424348303
"79760_at",0.0958971020515879,6.02658817035047,4.88836667233921,1.43017500456869e-06,0.00526644068244862,4.9237542347457
"79646_at",-0.135245129058132,7.67910079804307,-4.82543783742412,1.93318918682254e-06,0.00566705520495142,4.6527259656324
"29062_at",0.0879905936468009,6.66602325663894,4.82252460526755,1.96019636723268e-06,0.00566705520495142,4.64025477705198
"25953_at",0.125398141596837,6.32122234362418,4.80399613898711,2.14067206054857e-06,0.00566705520495142,4.56109402788841
"10552_at",0.07392264908009,8.05899217882803,4.78807500029043,2.30845115107156e-06,0.00566705520495142,4.49329019065317
"23369_at",-0.0897036123427058,8.846013535379,-4.75546044618879,2.69258829423245e-06,0.0061016121969072,4.35502202836244
"4012_at",-0.12987979388357,8.87180794151497,-4.73362057177226,2.98347863874286e-06,0.00627787837276614,4.26290561633309
"207063_at",0.130764810888071,7.54539443924216,4.61491775129668,5.17483380726441e-06,0.00990267900908604,3.76889994286951
"400960_at",0.142169326922298,7.72692932430023,4.59871778705197,5.57373625117876e-06,0.00990267900908604,3.70235609846968
"28520_at",-0.277712389741273,7.0041594493502,-4.59326334824587,5.71457086644023e-06,0.00990267900908604,3.6799986221977
"391059_at",0.158311799353587,4.84649204815007,4.57614659013425,6.17906653710032e-06,0.0101127289509132,3.60999328090243
"10492_at",-0.104799197346183,7.96732452996321,-4.50744532844786,8.43498397806736e-06,0.0126220052400379,3.33139034027447
"5127_at",0.0637306413991084,7.20782318289116,4.50393725961233,8.56920142573602e-06,0.0126220052400379,3.31726643790262
"3632_at",0.106442255867698,7.37497452069011,4.4907916463157,9.09059617700646e-06,0.0127523748942111,3.26442921446871
"140_at",0.293425711463453,5.5876097653338,4.37018187225718,1.55250294482166e-05,0.0207887201143187,2.78619937614795
"117584_at",0.0910282798494308,7.93734888247639,4.35182699592375,1.68245773520223e-05,0.0215493575744881,2.71445895046488
"100287569_at",0.141710221416854,6.38658521071985,4.33673364572879,1.79705222754114e-05,0.022058067321306,2.65567248901225
"146850_at",0.131362458632795,6.48165993860731,4.30563767016259,2.05710647741423e-05,0.0226470260152664,2.53514556694332
"282997_at",0.127755271884435,7.34614149697041,4.30185119679288,2.09112512346672e-05,0.0226470260152664,2.52052341021579
"2857_at",0.197520207385072,4.88522345522126,4.29545582493903,2.14980651117691e-05,0.0226470260152664,2.49585320265926
"10096_at",-0.0848231988495908,10.6383561954153,-4.29204765929989,2.18171764088769e-05,0.0226470260152664,2.482719868124
"401577_at",0.0785299341487724,6.72025864973307,4.2870411061126,2.22941632249134e-05,0.0226470260152664,2.46344443736584
